Participant,Primary AOS discipline/s
102,Climatology (excl. Climate Change Processes)
102,Modelling
102,AOS Research Computing Support
103,Climate Change Processes
103,Climatology (excl. Climate Change Processes)
103,Modelling
104,Atmospheric Dynamics
104,Climate Change Processes
104,Climatology (excl. Climate Change Processes)
104,Meteorology
105,Biological Oceanography
105,Chemical Oceanography
105,Physical Oceanography
106,Atmospheric Dynamics
106,Climatology (excl. Climate Change Processes)
107,Physical Oceanography
108,Physical Oceanography
109,Physical Oceanography
109,AOS Research Software Engineer
110,Physical Oceanography
111,Biological Oceanography
111,Chemical Oceanography
111,Physical Oceanography
111,Modelling
112,Physical Oceanography
112,Modelling
113,Physical Oceanography
114,Physical Oceanography
115,Physical Oceanography
115,Modelling
116,Chemical Oceanography
116,Paleoclimatology
117,Physical Oceanography
118,Physical Oceanography
119,Physical Oceanography
120,Physical Oceanography
121,Physical Oceanography
122,Climate Change Processes
122,Climatology (excl. Climate Change Processes)
123,Physical Oceanography
124,Atmospheric Dynamics
125,Atmospheric Dynamics
125,Biological Oceanography
125,Physical Oceanography
125,Modelling
126,Atmospheric Radiation
126,Climate Change Processes
126,Biological Oceanography
126,AOS Research Software Engineer
127,Physical Oceanography
128,Physical Oceanography
129,Biological Oceanography
129,Chemical Oceanography
129,Physical Oceanography
130,Meteorology
131,Physical Oceanography
132,Biological Oceanography
132,Physical Oceanography
133,Atmospheric Dynamics
133,Climate Change Processes
133,Climatology (excl. Climate Change Processes)
133,Meteorology
134,Meteorology
135,Physical Oceanography
136,Atmospheric Dynamics
136,Physical Oceanography
136,Modelling
137,Atmospheric Dynamics
137,Atmospheric Radiation
137,Climate Change Processes
137,Physical Oceanography
137,Modelling
138,AOS Research Software Engineer
139,Physical Oceanography
140,Climate Change Processes
140,Climatology (excl. Climate Change Processes)
140,Biological Oceanography
140,Chemical Oceanography
140,Physical Oceanography
140,Modelling
141,AOS Research Software Engineer
141,AOS Research Computing Support
142,Climate Change Processes
142,Physical Oceanography
143,Atmospheric Aerosols
143,Atmospheric Dynamics
143,Climate Change Processes
143,Climatology (excl. Climate Change Processes)
143,Biological Oceanography
143,Chemical Oceanography
143,Physical Oceanography
143,Modelling
144,Meteorology
