Participant,How have you learned Python?
88,"Workshop/s (e.g. Carpentries, Unidata)"
88,"Self taught (from textbooks, online tutorials, etc)"
89,"Workshop/s (e.g. Carpentries, Unidata)"
89,"Self taught (from textbooks, online tutorials, etc)"
90,"University semester course/s (e.g. ""Introduction to Programming"")"
90,"Workshop/s (e.g. Carpentries, Unidata)"
90,"Self taught (from textbooks, online tutorials, etc)"
91,"Self taught (from textbooks, online tutorials, etc)"
92,University degree (e.g. Bachelor of Software Engineering)
92,"Self taught (from textbooks, online tutorials, etc)"
93,"Workshop/s (e.g. Carpentries, Unidata)"
93,"Self taught (from textbooks, online tutorials, etc)"
94,"Self taught (from textbooks, online tutorials, etc)"
95,"Self taught (from textbooks, online tutorials, etc)"
96,"Self taught (from textbooks, online tutorials, etc)"
97,University degree (e.g. Bachelor of Software Engineering)
97,"University semester course/s (e.g. ""Introduction to Programming"")"
97,"Workshop/s (e.g. Carpentries, Unidata)"
97,"Self taught (from textbooks, online tutorials, etc)"
98,"Workshop/s (e.g. Carpentries, Unidata)"
98,"Self taught (from textbooks, online tutorials, etc)"
99,"Self taught (from textbooks, online tutorials, etc)"
100,"Self taught (from textbooks, online tutorials, etc)"
101,"Self taught (from textbooks, online tutorials, etc)"
102,"Workshop/s (e.g. Carpentries, Unidata)"
102,"Self taught (from textbooks, online tutorials, etc)"
103,"Self taught (from textbooks, online tutorials, etc)"
104,"University semester course/s (e.g. ""Introduction to Programming"")"
104,"Workshop/s (e.g. Carpentries, Unidata)"
104,"Self taught (from textbooks, online tutorials, etc)"
105,"University semester course/s (e.g. ""Introduction to Programming"")"
105,"Self taught (from textbooks, online tutorials, etc)"
106,"Self taught (from textbooks, online tutorials, etc)"
107,"Self taught (from textbooks, online tutorials, etc)"
108,"Self taught (from textbooks, online tutorials, etc)"
109,"Self taught (from textbooks, online tutorials, etc)"
110,"Self taught (from textbooks, online tutorials, etc)"
111,"Self taught (from textbooks, online tutorials, etc)"
112,"Self taught (from textbooks, online tutorials, etc)"
113,"Workshop/s (e.g. Carpentries, Unidata)"
114,"Self taught (from textbooks, online tutorials, etc)"
115,"University semester course/s (e.g. ""Introduction to Programming"")"
115,"Self taught (from textbooks, online tutorials, etc)"
116,"Workshop/s (e.g. Carpentries, Unidata)"
116,"Self taught (from textbooks, online tutorials, etc)"
117,"Self taught (from textbooks, online tutorials, etc)"
118,"Workshop/s (e.g. Carpentries, Unidata)"
118,"Self taught (from textbooks, online tutorials, etc)"
119,"Self taught (from textbooks, online tutorials, etc)"
120,"Workshop/s (e.g. Carpentries, Unidata)"
120,"Self taught (from textbooks, online tutorials, etc)"
121,"Self taught (from textbooks, online tutorials, etc)"
122,"Self taught (from textbooks, online tutorials, etc)"
123,"Workshop/s (e.g. Carpentries, Unidata)"
123,"Self taught (from textbooks, online tutorials, etc)"
124,"Self taught (from textbooks, online tutorials, etc)"
125,"Workshop/s (e.g. Carpentries, Unidata)"
125,"Self taught (from textbooks, online tutorials, etc)"
126,"Self taught (from textbooks, online tutorials, etc)"
127,"Self taught (from textbooks, online tutorials, etc)"
128,"Workshop/s (e.g. Carpentries, Unidata)"
128,"Self taught (from textbooks, online tutorials, etc)"
129,"Self taught (from textbooks, online tutorials, etc)"
130,"Self taught (from textbooks, online tutorials, etc)"
131,"Self taught (from textbooks, online tutorials, etc)"
132,"Self taught (from textbooks, online tutorials, etc)"
133,"Self taught (from textbooks, online tutorials, etc)"
134,University degree (e.g. Bachelor of Software Engineering)
134,"Self taught (from textbooks, online tutorials, etc)"
135,"Workshop/s (e.g. Carpentries, Unidata)"
135,"Self taught (from textbooks, online tutorials, etc)"
136,"Self taught (from textbooks, online tutorials, etc)"
137,"Self taught (from textbooks, online tutorials, etc)"
138,"University semester course/s (e.g. ""Introduction to Programming"")"
138,"Self taught (from textbooks, online tutorials, etc)"
139,"Self taught (from textbooks, online tutorials, etc)"
140,"Workshop/s (e.g. Carpentries, Unidata)"
141,"Self taught (from textbooks, online tutorials, etc)"
142,"Workshop/s (e.g. Carpentries, Unidata)"
142,"Self taught (from textbooks, online tutorials, etc)"
143,"Self taught (from textbooks, online tutorials, etc)"
144,"Self taught (from textbooks, online tutorials, etc)"
