Participant,What computing platforms do you use for your AOS data science?
96,Supercomputer (e.g. run by your institution or a national facility)
97,Personal laptop/desktop
97,Supercomputer (e.g. run by your institution or a national facility)
98,Personal laptop/desktop
98,Supercomputer (e.g. run by your institution or a national facility)
99,Personal laptop/desktop
99,Cloud (e.g. Amazon Web Services)
100,Personal laptop/desktop
100,Supercomputer (e.g. run by your institution or a national facility)
101,Personal laptop/desktop
101,Supercomputer (e.g. run by your institution or a national facility)
102,Personal laptop/desktop
102,Supercomputer (e.g. run by your institution or a national facility)
103,Personal laptop/desktop
103,Supercomputer (e.g. run by your institution or a national facility)
103,Cloud (e.g. Amazon Web Services)
104,Personal laptop/desktop
104,Supercomputer (e.g. run by your institution or a national facility)
105,Personal laptop/desktop
106,Supercomputer (e.g. run by your institution or a national facility)
107,Personal laptop/desktop
107,Supercomputer (e.g. run by your institution or a national facility)
107,Cloud (e.g. Amazon Web Services)
108,Supercomputer (e.g. run by your institution or a national facility)
109,Personal laptop/desktop
109,Supercomputer (e.g. run by your institution or a national facility)
109,Cloud (e.g. Amazon Web Services)
110,Personal laptop/desktop
110,Cloud (e.g. Amazon Web Services)
111,Personal laptop/desktop
111,Supercomputer (e.g. run by your institution or a national facility)
112,Personal laptop/desktop
112,Supercomputer (e.g. run by your institution or a national facility)
112,Cloud (e.g. Amazon Web Services)
112,Local server (e.g. provided by your department)
113,Supercomputer (e.g. run by your institution or a national facility)
114,Personal laptop/desktop
114,Supercomputer (e.g. run by your institution or a national facility)
115,Personal laptop/desktop
115,Supercomputer (e.g. run by your institution or a national facility)
116,Personal laptop/desktop
117,Personal laptop/desktop
117,Supercomputer (e.g. run by your institution or a national facility)
117,Cloud (e.g. Amazon Web Services)
118,Personal laptop/desktop
119,Personal laptop/desktop
120,Personal laptop/desktop
120,Cloud (e.g. Amazon Web Services)
121,Personal laptop/desktop
121,Supercomputer (e.g. run by your institution or a national facility)
122,Personal laptop/desktop
122,Supercomputer (e.g. run by your institution or a national facility)
122,Cloud (e.g. Amazon Web Services)
123,Personal laptop/desktop
123,Cloud (e.g. Amazon Web Services)
124,Personal laptop/desktop
124,Supercomputer (e.g. run by your institution or a national facility)
125,Personal laptop/desktop
126,Personal laptop/desktop
126,Supercomputer (e.g. run by your institution or a national facility)
127,Personal laptop/desktop
128,Personal laptop/desktop
128,Supercomputer (e.g. run by your institution or a national facility)
129,Personal laptop/desktop
129,Supercomputer (e.g. run by your institution or a national facility)
129,Cloud (e.g. Amazon Web Services)
130,Personal laptop/desktop
130,Local server (e.g. provided by your department)
131,Personal laptop/desktop
131,Supercomputer (e.g. run by your institution or a national facility)
132,Supercomputer (e.g. run by your institution or a national facility)
133,Personal laptop/desktop
133,Supercomputer (e.g. run by your institution or a national facility)
134,Personal laptop/desktop
134,Supercomputer (e.g. run by your institution or a national facility)
134,Cloud (e.g. Amazon Web Services)
135,Personal laptop/desktop
135,Supercomputer (e.g. run by your institution or a national facility)
135,Cloud (e.g. Amazon Web Services)
136,Personal laptop/desktop
136,Supercomputer (e.g. run by your institution or a national facility)
137,Personal laptop/desktop
137,Supercomputer (e.g. run by your institution or a national facility)
137,Cloud (e.g. Amazon Web Services)
138,Personal laptop/desktop
138,Supercomputer (e.g. run by your institution or a national facility)
139,Personal laptop/desktop
139,Cloud (e.g. Amazon Web Services)
140,Personal laptop/desktop
140,Supercomputer (e.g. run by your institution or a national facility)
141,Personal laptop/desktop
141,Supercomputer (e.g. run by your institution or a national facility)
142,Personal laptop/desktop
142,Supercomputer (e.g. run by your institution or a national facility)
143,Personal laptop/desktop
143,Supercomputer (e.g. run by your institution or a national facility)
